word,N,N1
jajajjajaja,"[['jajaj', 0], ['jajajja', 0], ['jajajjaa', 0], ['jajajjaja', 0], ['jajajjajaja', 0]]","[['jajaj', 0], ['jajajja', 0], ['jajajjaa', 0], ['jajajjaja', 0], ['jajajjajaja', 0]]"
jesusrpescador,"[['jesusrcuevas', 0], ['jesusrpescador', 0], ['chaspm', 0.00034823138003570175], ['chasm', 0.0003486063458179034], ['chatpm', 0.00034990750365149204]]","[['jesusrcuevas', 0], ['jesusrpescador', 0], ['chaspm', 0.00034823138003570175], ['chasm', 0.0003486063458179034], ['chatpm', 0.00034990750365127]]"
jorgezepedap,"[['jorge', 1.1102230246251565e-16], ['jorgezepedap', 1.1102230246251565e-16], ['tarugadas', 4.882955180196547e-07], ['nayarit', 1.340226413926171e-05], ['jorgerohe', 3.2146554059697685e-05]]","[['jorge', 0], ['jorgezepedap', 0], ['tarugadas', 4.882955180196547e-07], ['nayarit', 1.3402264139039666e-05], ['jorgerohe', 3.214655405947564e-05]]"
julieta_kristal,"[['julieta', 0], ['julieta_kristal', 0], ['jenarovillamil', 0.00014399251763153043], ['morenasenadores', 0.0002702965622938258], ['derechito', 0.0004258550829792096]]","[['julieta', 0], ['julieta_kristal', 0], ['jenarovillamil', 0.00014399251763175247], ['morenasenadores', 0.0002702965622942699], ['derechito', 0.0004258550829792096]]"
ladyrobamaridostellez,"[['ladyrobamaridos', 0], ['ladyrobamaridostellez', 0], ['redamlo', 1.5089050573569018e-05], ['costando', 6.381793795062762e-05], ['informando', 8.144846669144723e-05]]","[['ladyrobamaridos', 0], ['ladyrobamaridostellez', 0], ['redamlo', 1.5089050573569018e-05], ['costando', 6.381793795062762e-05], ['informando', 8.144846669133621e-05]]"
lambisconeria,"[['lambiscona', 0], ['lambisconeria', 0], ['lambisconería', 0], ['lambiscones', 0], ['ebrad', 1.732451997527029e-05]]","[['lambiscona', 0], ['lambisconeria', 0], ['lambisconería', 0], ['lambiscones', 0], ['ebrad', 1.732451997527029e-05]]"
lambisconería,"[['lambiscona', 0], ['lambisconeria', 0], ['lambisconería', 0], ['lambiscones', 0], ['ebrad', 1.732451997527029e-05]]","[['lambiscona', 0], ['lambisconeria', 0], ['lambisconería', 0], ['lambiscones', 0], ['ebrad', 1.732451997527029e-05]]"
lambiscones,"[['lambiscona', 0], ['lambisconeria', 0], ['lambisconería', 0], ['lambiscones', 0], ['ebrad', 1.732451997527029e-05]]","[['lambiscona', 0], ['lambisconeria', 0], ['lambisconería', 0], ['lambiscones', 0], ['ebrad', 1.732451997527029e-05]]"
latinus_us,"[['latinus', 2.220446049250313e-16], ['latinus_us', 2.220446049250313e-16], ['ernestinagodoy_', 0.0005452528341514107], ['fgrmexico', 0.001569521059916812], ['igualdadsalarial', 0.002008886743731897]]","[['latinus', 0], ['latinus_us', 0], ['ernestinagodoy_', 0.0005452528341515217], ['fgrmexico', 0.001569521059916812], ['igualdadsalarial', 0.002008886743732119]]"
literal,"[['ignorar', 0], ['masivo', 0], ['literal', 2.220446049250313e-16], ['avanza', 3.0753177782116836e-14], ['bonitas', 3.4083846855992306e-14]]","[['literal', 0], ['ignorar', 1.1102230246251565e-16], ['masivo', 1.1102230246251565e-16], ['avanza', 3.086420008457935e-14], ['bonitas', 3.419486915845482e-14]]"
llevaste,"[['imbéciles', 0], ['llevaste', 0], ['eligieron', 2.220446049250313e-16], ['burla', 1.0436096431476471e-14], ['pendejo', 1.1657341758564144e-14]]","[['llevaste', 0], ['imbéciles', 2.220446049250313e-16], ['eligieron', 3.3306690738754696e-16], ['burla', 1.0547118733938987e-14], ['pendejo', 1.1657341758564144e-14]]"
lopezobrador_,"[['lopezobrador', 0], ['lopezobrador_', 0], ['amloelreydelcash', 9.388403439281046e-05], ['díadelademocracia', 0.00021166362629132518], ['rabadan', 0.00026649482931651036]]","[['lopezobrador', 0], ['lopezobrador_', 0], ['amloelreydelcash', 9.38840343930325e-05], ['díadelademocracia', 0.00021166362629121416], ['rabadan', 0.00026649482931651036]]"
luis_r_bucio,"[['luis_c_sandoval', 2.220446049250313e-16], ['luis_r_bucio', 2.220446049250313e-16], ['morenacos', 0.00019003804236594757], ['staboadamx', 0.0005986933476480605], ['zopilota', 0.001154063588702292]]","[['luis_c_sandoval', 0], ['luis_r_bucio', 0], ['morenacos', 0.00019003804236583655], ['staboadamx', 0.0005986933476485046], ['zopilota', 0.0011540635887025141]]"
manta,"[['decepción', 0], ['atacan', 2.220446049250313e-16], ['manta', 2.220446049250313e-16], ['generosidad', 5.218048215738236e-15], ['lamentablemente', 1.7208456881689926e-14]]","[['atacan', 0], ['decepción', 0], ['manta', 0], ['generosidad', 5.218048215738236e-15], ['lamentablemente', 1.7208456881689926e-14]]"
masivo,"[['literal', 0], ['masivo', 0], ['ignorar', 3.3306690738754696e-16], ['avanza', 2.7755575615628914e-14], ['bonitas', 3.7414515929867775e-14]]","[['masivo', 0], ['literal', 1.1102230246251565e-16], ['ignorar', 3.3306690738754696e-16], ['avanza', 2.7755575615628914e-14], ['bonitas', 3.730349362740526e-14]]"
miente,"[['debiste', 0], ['miente', 1.1102230246251565e-16], ['sacando', 4.440892098500626e-16], ['telenovela', 1.3433698597964394e-14], ['equivoco', 1.5432100042289676e-14]]","[['miente', 0], ['debiste', 1.1102230246251565e-16], ['sacando', 4.440892098500626e-16], ['telenovela', 1.3433698597964394e-14], ['equivoco', 1.532107773982716e-14]]"
