Nombre,Puesto,Usuario,Ubicación ,Fecha de inicio,Fecha de término,Seguidores,Tweets hechos,Tweets respuesta,Componente SG,Edad,Comentarios
Emmanuel Reyes Carmona,Diputado,@EmmanuelReyesC,Guanajuato,18-08-29,,,,,H,35,
Valentín Reyes Lopez,Diputado,@DiputadoReyes,Veracruz,18-08-29,,,,,H,70,
María del Rosario Reyes Silva,Diputada,@Rosario_Reyes_S,Guerrero,21-08-29,,,,,M,40,
Sonia Rincón Chanona,Diputada,@soniarincon_ch,Chiapas,18-08-29,,,,,M,69,
Bernardo Ríos Cheno,Diputado,@DipBernardoRios,Sonora,21-08-29,,,,,H,46,
Klaus Uwe Ritter Ocampo,Diputado,@KlausRitter,Morelos,21-08-29,,,,,H,30,
Juan Ramiro Robledo Ruiz,Diputado,@jramirorobledo,San Luis Potosí,21-08-29,,,,,H,73,
Manuel Alejandro Robles Gómez,Diputado,@roblesgomezalej,Ciudad de México,21-08-29,,,,,H,39,
Martha Robles Ortíz,Diputada,@DipMartha,Estado de México,18-08-29,,,,,M,60,
Manuel Rodríguez González,Diputado,@manuel_rdgn,Tabasco,18-08-29,,,,,H,55,
Ángel Miguel Rodríguez Torres,Diputado,,Estado de México,21-08-29,,,,,H,35,
Beatriz Rojas Martínez,Diputada,@BetyRojas06,Ciudad de México,18-08-29,,,,,M,55,
María Guadalupe Román Ávila,Diputada,@GpeRomanAvila,Estado de México,18-08-29,,,,,M,49,
Noemí Salazar López,Diputada,@NoemiSalazarLXV,Estado de México,21-08-29,,,,,M,36,
Carlos Sánchez Barrios,Diputado,@SanchezBarriosC,Guerrero,18-08-29,,,,,H,65,
Graciela Sánchez Ortiz,Diputada,@DipGracielaSO,Estado de México,18-08-29,,,,,M,63,
Juan Pablo Sánchez Rodríguez,Diputado,@JuanPabloSanchR,Estado de México,18-08-29,,,,,H,43,
Pablo Amílcar Sandoval Ballesteros,Diputado,@SanAmilcar,Guerrero,21-08-29,,,,,H,48,
Martín Sandoval Soto,Diputado,@MartinSandovalS,Hidalgo,21-08-29,,,,,H,52,
Azael Santiago Chepi,Diputado,@Chepi_Org,Oaxaca,18-08-29,,,,,H,44,
Iran Santiago Manuel,Diputado,@IranSantiagoM,Oaxaca,18-08-29,,,,,H,37,
Nancy Yadira Santiago Marcos,Diputada,@YadiraMarcosSin,Sinaloa,18-08-29,,,,,M,42,
Elena Edith Segura Trejo,Diputada,@ElenaSegura_,Ciudad de México,21-08-29,,,,,M,59,
